UserID,Academic_Major,Deep_Work_Hours,Doomscrolling_Hours,Sleep_Duration,Reported_Stress_Level,Mental_Fatigue_Score
U00001,BCA,1.3,1.1,8.0,3,Low
U00002,BCA,1.7,4.1,8.3,3,Moderate
U00003,BBA,3.8,2.6,7.0,1,Low
U00004,BCA,4.0,4.6,8.9,8,Low
U00005,BCA,0.4,4.3,8.9,10,Moderate
U00006,BTech,1.9,4.1,8.2,6,Low
U00007,BBA,5.4,0.0,8.9,4,Moderate
U00008,BBA,0.5,0.2,4.9,2,Severe
U00009,BCA,2.9,6.2,5.5,1,Severe
U00010,BBA,0.5,4.1,7.6,7,Moderate
U00011,BCA,3.7,0.1,5.3,8,Moderate
U00012,BTech,0.1,3.7,4.4,6,Severe
U00013,BCA,8.3,0.1,7.0,1,Low
U00014,BTech,9.1,0.3,7.9,4,Severe
U00015,BTech,3.7,0.4,7.7,8,Low
U00016,BBA,3.0,3.2,7.2,8,Severe
U00017,BBA,9.6,7.1,4.1,2,Moderate
U00018,BCA,3.3,3.6,4.6,2,Severe
U00019,Arts,5.1,4.7,5.3,7,Severe
U00020,BBA,5.5,2.3,8.3,1,Severe
U00021,BTech,0.3,7.4,6.1,1,Moderate
U00022,Arts,4.2,4.7,5.3,2,Low
U00023,Arts,3.2,2.6,4.6,1,Severe
U00024,Arts,9.0,6.7,4.3,9,Moderate
U00025,BCA,6.3,4.4,5.7,3,Moderate
U00026,Arts,2.3,0.2,5.1,8,Severe
U00027,BBA,1.9,7.1,4.8,6,Moderate
U00028,Arts,6.0,1.0,8.3,5,Low
U00029,Arts,4.6,7.7,6.1,9,Moderate
U00030,Arts,0.0,0.9,4.8,8,Low
U00031,Arts,4.0,4.7,6.4,10,Low
U00032,BBA,3.3,1.4,9.3,10,Low
U00033,BBA,2.8,6.0,8.9,9,Moderate
U00034,BTech,6.6,7.1,5.5,3,Moderate
U00035,Arts,0.8,5.1,9.0,9,Moderate
U00036,Arts,9.4,7.6,8.7,10,Moderate
U00037,BBA,2.1,4.7,4.9,8,Moderate
U00038,BBA,3.5,6.4,4.7,3,Severe
U00039,Arts,5.8,6.3,7.2,1,Low
U00040,BTech,3.1,1.7,4.3,3,Low
U00041,Arts,3.7,3.8,9.3,7,Moderate
U00042,BCA,8.6,2.8,10.0,10,Low
U00043,BCA,3.9,4.9,7.6,5,Severe
U00044,Arts,9.2,2.5,9.3,1,Severe
U00045,BTech,0.2,4.6,5.8,7,Severe
U00046,Arts,3.0,7.9,7.9,1,Severe
U00047,BBA,0.4,5.3,6.0,4,Severe
U00048,BBA,6.1,1.7,6.1,4,Moderate
U00049,BTech,1.4,0.8,8.0,10,Moderate
U00050,BCA,5.8,0.0,6.1,2,Moderate
U00051,BBA,9.4,0.9,7.9,2,Low
U00052,BBA,8.6,5.2,7.9,5,Moderate
U00053,BBA,7.9,1.6,6.6,7,Moderate
